date,year,month,day,weekday,hour,demand
1/1/2018,2018,1,1,2,0,5673
1/1/2018,2018,1,1,2,1,5183
1/1/2018,2018,1,1,2,2,4908
1/1/2018,2018,1,1,2,3,4786
1/1/2018,2018,1,1,2,4,4599
1/1/2018,2018,1,1,2,5,4594
1/1/2018,2018,1,1,2,6,4862
1/1/2018,2018,1,1,2,7,5191
1/1/2018,2018,1,1,2,8,5595
1/1/2018,2018,1,1,2,9,5927
1/1/2018,2018,1,1,2,10,5720
1/1/2018,2018,1,1,2,11,5751
1/1/2018,2018,1,1,2,12,5805
1/1/2018,2018,1,1,2,13,5869
1/1/2018,2018,1,1,2,14,5570
1/1/2018,2018,1,1,2,15,5572
1/1/2018,2018,1,1,2,16,5549
1/1/2018,2018,1,1,2,17,5914
1/1/2018,2018,1,1,2,18,7308
1/1/2018,2018,1,1,2,19,7395.5
1/1/2018,2018,1,1,2,20,7483
1/1/2018,2018,1,1,2,21,7206
1/1/2018,2018,1,1,2,22,6609
1/1/2018,2018,1,1,2,23,6171
1/2/2018,2018,1,2,3,0,5551
1/2/2018,2018,1,2,3,1,5040
1/2/2018,2018,1,2,3,2,4679
1/2/2018,2018,1,2,3,3,4596
1/2/2018,2018,1,2,3,4,4492
1/2/2018,2018,1,2,3,5,4472
1/2/2018,2018,1,2,3,6,4713
1/2/2018,2018,1,2,3,7,5111
1/2/2018,2018,1,2,3,8,5653
1/2/2018,2018,1,2,3,9,5806
1/2/2018,2018,1,2,3,10,5741
1/2/2018,2018,1,2,3,11,5685
1/2/2018,2018,1,2,3,12,5844
1/2/2018,2018,1,2,3,13,5929
1/2/2018,2018,1,2,3,14,5698
1/2/2018,2018,1,2,3,15,5745
1/2/2018,2018,1,2,3,16,5682
1/2/2018,2018,1,2,3,17,6105
1/2/2018,2018,1,2,3,18,7290
1/2/2018,2018,1,2,3,19,7467.5
1/2/2018,2018,1,2,3,20,7645
1/2/2018,2018,1,2,3,21,7282
1/2/2018,2018,1,2,3,22,6732
1/2/2018,2018,1,2,3,23,5921
1/3/2018,2018,1,3,4,0,5455
1/3/2018,2018,1,3,4,1,5130
1/3/2018,2018,1,3,4,2,4789
1/3/2018,2018,1,3,4,3,4730
1/3/2018,2018,1,3,4,4,4483
1/3/2018,2018,1,3,4,5,4539
1/3/2018,2018,1,3,4,6,4740
1/3/2018,2018,1,3,4,7,5066
1/3/2018,2018,1,3,4,8,5533
1/3/2018,2018,1,3,4,9,5928
1/3/2018,2018,1,3,4,10,5791
1/3/2018,2018,1,3,4,11,5574
1/3/2018,2018,1,3,4,12,5715
1/3/2018,2018,1,3,4,13,5823
1/3/2018,2018,1,3,4,14,5502
1/3/2018,2018,1,3,4,15,5673
1/3/2018,2018,1,3,4,16,5700
1/3/2018,2018,1,3,4,17,5975
1/3/2018,2018,1,3,4,18,7318
1/3/2018,2018,1,3,4,19,7512.5
1/3/2018,2018,1,3,4,20,7707
1/3/2018,2018,1,3,4,21,7467
1/3/2018,2018,1,3,4,22,6689
1/3/2018,2018,1,3,4,23,5846
1/4/2018,2018,1,4,5,0,5412
1/4/2018,2018,1,4,5,1,4926
1/4/2018,2018,1,4,5,2,4657
1/4/2018,2018,1,4,5,3,4510
1/4/2018,2018,1,4,5,4,4417
1/4/2018,2018,1,4,5,5,4336
1/4/2018,2018,1,4,5,6,4609
1/4/2018,2018,1,4,5,7,4920
1/4/2018,2018,1,4,5,8,5418
1/4/2018,2018,1,4,5,9,5954
1/4/2018,2018,1,4,5,10,5741
1/4/2018,2018,1,4,5,11,5708
1/4/2018,2018,1,4,5,12,5731
1/4/2018,2018,1,4,5,13,5886
1/4/2018,2018,1,4,5,14,5571
1/4/2018,2018,1,4,5,15,5654
1/4/2018,2018,1,4,5,16,5591
1/4/2018,2018,1,4,5,17,6052
1/4/2018,2018,1,4,5,18,7456
1/4/2018,2018,1,4,5,19,7532
1/4/2018,2018,1,4,5,20,7608
1/4/2018,2018,1,4,5,21,7264
1/4/2018,2018,1,4,5,22,6561
1/4/2018,2018,1,4,5,23,6116
1/5/2018,2018,1,5,6,0,5486
1/5/2018,2018,1,5,6,1,4977
1/5/2018,2018,1,5,6,2,4738
1/5/2018,2018,1,5,6,3,4545
1/5/2018,2018,1,5,6,4,4405
1/5/2018,2018,1,5,6,5,4345
1/5/2018,2018,1,5,6,6,4505
1/5/2018,2018,1,5,6,7,4620
1/5/2018,2018,1,5,6,8,4837
1/5/2018,2018,1,5,6,9,5130
1/5/2018,2018,1,5,6,10,5105
1/5/2018,2018,1,5,6,11,4973
1/5/2018,2018,1,5,6,12,5013
1/5/2018,2018,1,5,6,13,5100
1/5/2018,2018,1,5,6,14,4585
1/5/2018,2018,1,5,6,15,4570
1/5/2018,2018,1,5,6,16,4629
1/5/2018,2018,1,5,6,17,5024
1/5/2018,2018,1,5,6,18,6524
1/5/2018,2018,1,5,6,19,6674.5
1/5/2018,2018,1,5,6,20,6825
1/5/2018,2018,1,5,6,21,6681
1/5/2018,2018,1,5,6,22,6023
1/5/2018,2018,1,5,6,23,5486
1/6/2018,2018,1,6,7,0,5081
1/6/2018,2018,1,6,7,1,4646
